日志时间：2012-07-31 14:00:01,929  
[系统:system;描述:方法拦截;代码:700]执行用时：4毫秒;请求信息：Invocation: method 'GetShoppingCartGoodsNum', arguments WebSite,,6976b6ffa4464a7db5ae9529c5504102,0,; target is of Type [MobileWcf.ServiceLibrary.Order.OrderService];返回信息：{"info":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 14:00:04,661  
[系统:system;描述:方法拦截;代码:700]执行用时：79毫秒;请求信息：Invocation: method 'GetPayList', arguments WebSite,,6976b6ffa4464a7db5ae9529c5504102,0,,12323; target is of Type [MobileWcf.ServiceLibrary.BaseData.BaseDataService];返回信息：{"list":[{"Key":"货到付款（送货上门后再付款，支持现金或POS机刷卡)","Value":0},{"Key":"在线支付（支持绝大数银行借记卡及部分银行信息卡）","Value":1}],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 14:00:09,256  
[系统:system;描述:方法拦截;代码:700]执行用时：6毫秒;请求信息：Invocation: method 'GetShoppingCartGoodsNum', arguments WebSite,,6976b6ffa4464a7db5ae9529c5504102,0,; target is of Type [MobileWcf.ServiceLibrary.Order.OrderService];返回信息：{"info":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 14:00:19,598  
[系统:system;描述:方法拦截;代码:700]执行用时：5毫秒;请求信息：Invocation: method 'GetShoppingCartGoodsNum', arguments WebSite,,6976b6ffa4464a7db5ae9529c5504102,0,; target is of Type [MobileWcf.ServiceLibrary.Order.OrderService];返回信息：{"info":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 14:00:21,489  
[系统:system;描述:方法拦截;代码:700]执行用时：74毫秒;请求信息：Invocation: method 'GetPayList', arguments WebSite,,6976b6ffa4464a7db5ae9529c5504102,0,,12323; target is of Type [MobileWcf.ServiceLibrary.BaseData.BaseDataService];返回信息：{"list":[{"Key":"货到付款（送货上门后再付款，支持现金或POS机刷卡)","Value":0},{"Key":"在线支付（支持绝大数银行借记卡及部分银行信息卡）","Value":1}],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 14:00:23,832  
[系统:system;描述:方法拦截;代码:700]执行用时：100毫秒;请求信息：Invocation: method 'GetPayList', arguments WebSite,,6976b6ffa4464a7db5ae9529c5504102,0,,12323; target is of Type [MobileWcf.ServiceLibrary.BaseData.BaseDataService];返回信息：{"list":[{"Key":"货到付款（送货上门后再付款，支持现金或POS机刷卡)","Value":0},{"Key":"在线支付（支持绝大数银行借记卡及部分银行信息卡）","Value":1}],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 14:00:25,905  
[系统:system;描述:方法拦截;代码:700]执行用时：78毫秒;请求信息：Invocation: method 'GetPayList', arguments WebSite,,6976b6ffa4464a7db5ae9529c5504102,0,,12323; target is of Type [MobileWcf.ServiceLibrary.BaseData.BaseDataService];返回信息：{"list":[{"Key":"货到付款（送货上门后再付款，支持现金或POS机刷卡)","Value":0},{"Key":"在线支付（支持绝大数银行借记卡及部分银行信息卡）","Value":1}],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 14:12:00,373  
[系统:system;描述:方法拦截;代码:700]执行用时：80毫秒;请求信息：Invocation: method 'GetPayList', arguments WebSite,,4ad9cfcd19e44ecd8c0c24e7a0188137,0,,12323; target is of Type [MobileWcf.ServiceLibrary.BaseData.BaseDataService];返回信息：{"list":[{"Key":"货到付款（送货上门后再付款，支持现金或POS机刷卡)","Value":0},{"Key":"在线支付（支持绝大数银行借记卡及部分银行信息卡）","Value":1}],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 14:12:05,604  
[系统:system;描述:方法拦截;代码:700]执行用时：71毫秒;请求信息：Invocation: method 'GetPayList', arguments WebSite,,4ad9cfcd19e44ecd8c0c24e7a0188137,0,,12323; target is of Type [MobileWcf.ServiceLibrary.BaseData.BaseDataService];返回信息：{"list":[{"Key":"货到付款（送货上门后再付款，支持现金或POS机刷卡)","Value":0},{"Key":"在线支付（支持绝大数银行借记卡及部分银行信息卡）","Value":1}],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 14:12:12,858  
[系统:system;描述:方法拦截;代码:700]执行用时：5毫秒;请求信息：Invocation: method 'GetShoppingCartGoodsNum', arguments WebSite,,4ad9cfcd19e44ecd8c0c24e7a0188137,0,; target is of Type [MobileWcf.ServiceLibrary.Order.OrderService];返回信息：{"info":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 14:12:12,944  
[系统:system;描述:方法拦截;代码:700]执行用时：71毫秒;请求信息：Invocation: method 'GetPayList', arguments WebSite,,4ad9cfcd19e44ecd8c0c24e7a0188137,0,,12323; target is of Type [MobileWcf.ServiceLibrary.BaseData.BaseDataService];返回信息：{"list":[{"Key":"货到付款（送货上门后再付款，支持现金或POS机刷卡)","Value":0},{"Key":"在线支付（支持绝大数银行借记卡及部分银行信息卡）","Value":1}],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 14:12:53,751  
